"Standard
Class ID"	"Standard
Instance ID"	"Standard
Member ID"	Parameter ID	Instance	"Class
Name"	Base or Module #	"Parameter Name
Member Name"	Description	"Selectable Range or
Enumerations via Comms ( )"	Default from Factory	Data Type	"Read
Write
EEPROM
User Set Save"	Relative Address	Absolute Address	Offset to next inst.	"Modbus
Registers
Range"	Max Instance														
1	1	1	1001	1	DEV	F4T Base	Diagnostic - Hardware ID of F4T Base	Monitor the hardware ID.	124	CPU (124)	signed 32-bit	R	0	" 400,001 "	120	0 to 838	7														
1	1	2	1002	1	DEV	F4T Base	Diagnostic - Software ID	Monitor the software ID.	1 to 99 (1 is standard software)	no default	signed 32-bit	R	2	" 400,003 "	120	0 to 838	7														
1	1	3	1003	1	DEV	F4T Base	Diagnostic - Software Release Version	"Monitor the software release version. The following three numbers match the Software version in About screen
03:02:0002 as an example is returned as 3 in register 4, 2 in register 6 and 2 in register 8."	0 to 99	no default	signed 32-bit	R	4	" 400,005 "	120	0 to 838	7														
1	1	4	1004	1	DEV	F4T Base	Diagnostic - Software Prototype Version	"Monitor the prototype version if prototype. The following three numbers match the Software version in About screen
03:02:0002 as an example is returned as 3 in register 4, 2 in register 6 and 2 in register 8."	0 to 99	no default	signed 32-bit	R	6	" 400,007 "	120	0 to 838	7														
1	1	5	1005	1	DEV	F4T Base	Diagnostic - Software Build Number	"Monitor the software build number. The following three numbers match the Software version in About screen
03:02:0002 as an example is retu"	0 to 99	no default	signed 32-bit	R	8	" 400,009 "	120	0 to 838	7														
1	1	6	1006	1	DEV	F4T Base	Diagnostic - Firmware Branch Number	Monitor the firmware branch number.	0 to 999	no default	signed 32-bit	R	10	" 400,011 "	120	0 to 838	7														
1	1	7	1007	1	DEV	F4T Base	Diagnostic - Serial Number	Monitor the serial number.	"1 to 2,147,483,647"	no default	signed 32-bit	R	12	" 400,013 "	120	0 to 838	7														
1	1	8	1008	1	DEV	F4T Base	Diagnostic - Date of Manufacture	Monitor the date the hardware was manufactured. Serial number in format YYDDD	"01,001 to 99,365"	no default	signed 32-bit	R	14	" 400,015 "	120	0 to 838	7														
1	1	9	1009	1	DEV	F4T Base	Diagnostic - F4T Base Model Number (Digit 1 for Modbus protocol)	Monitor the model number of the base.	"A to Z, 0 to 9 (Unicode character)"	F (70)	Short String	R	16	" 400,017 "	120	0 to 838	7														
1	1	9	1009	1	DEV	F4T Base	Diagnostic - F4T Base Model Number (Digit 2 for Modbus protocol)	Monitor the model number of the base.	"A to Z, 0 to 9 (Unicode character)"	4 (52)	Short String	R	17	" 400,018 "	120	0 to 838	7														
1	1	9	1009	1	DEV	F4T Base	Diagnostic - F4T Base Model Number (Digit 3 for Modbus protocol)	Monitor the model number of the base.	"A to Z, 0 to 9 (Unicode character)"	T (84)	Short String	R	18	" 400,019 "	120	0 to 838	7														
1	1	9	1009	1	DEV	F4T Base	Diagnostic - F4T Base Model Number (Digit 4 for Modbus protocol)	Monitor the model number of the base.	"A to Z, 0 to 9 (Unicode character)"	no default	Short String	R	19	" 400,020 "	120	0 to 838	7														
1	1	9	1009	1	DEV	F4T Base	Diagnostic - F4T Base Model Number (Digit 5 for Modbus protocol)	Monitor the model number of the base.	"A to Z, 0 to 9 (Unicode character)"	no default	Short String	R	20	" 400,021 "	120	0 to 838	7														
1	1	9	1009	1	DEV	F4T Base	Diagnostic - F4T Base Model Number (Digit 6 for Modbus protocol)	Monitor the model number of the base.	"A to Z, 0 to 9 (Unicode character)"	no default	Short String	R	21	" 400,022 "	120	0 to 838	7														
1	1	9	1009	1	DEV	F4T Base	Diagnostic - F4T Base Model Number (Digit 7 for Modbus protocol)	Monitor the model number of the base.	"A to Z, 0 to 9 (Unicode character)"	no default	Short String	R	22	" 400,023 "	120	0 to 838	7														
1	1	9	1009	1	DEV	F4T Base	Diagnostic - F4T Base Model Number (Digit 8 for Modbus protocol)	Monitor the model number of the base.	"A to Z, 0 to 9 (Unicode character)"	no default	Short String	R	23	" 400,024 "	120	0 to 838	7														
1	1	9	1009	1	DEV	F4T Base	Diagnostic - F4T Base Model Number (Digit 9 for Modbus protocol)	Monitor the model number of the base.	"A to Z, 0 to 9 (Unicode character)"	no default	Short String	R	24	" 400,025 "	120	0 to 838	7														
1	1	9	1009	1	DEV	F4T Base	Diagnostic - F4T Base Model Number (Digit 10 for Modbus protocol)	Monitor the model number of the base.	"A to Z, 0 to 9 (Unicode character)"	no default	Short String	R	25	" 400,026 "	120	0 to 838	7														
1	1	9	1009	1	DEV	F4T Base	Diagnostic - F4T Base Model Number (Digit 11 for Modbus protocol)	Monitor the model number of the base.	"A to Z, 0 to 9 (Unicode character)"	no default	Short String	R	26	" 400,027 "	120	0 to 838	7														
1	1	9	1009	1	DEV	F4T Base	Diagnostic - F4T Base Model Number (Digit 12 for Modbus protocol)	Monitor the model number of the base.	"A to Z, 0 to 9 (Unicode character)"	no default	Short String	R	27	" 400,028 "	120	0 to 838	7														
1	1	9	1009	1	DEV	F4T Base	Diagnostic - F4T Base Model Number (Digit 13 for Modbus protocol)	Monitor the model number of the base.	"A to Z, 0 to 9 (Unicode character)"	no default	Short String	R	28	" 400,029 "	120	0 to 838	7														
1	1	9	1009	1	DEV	F4T Base	Diagnostic - F4T Base Model Number (Digit 14 for Modbus protocol)	Monitor the model number of the base.	"A to Z, 0 to 9 (Unicode character)"	no default	Short String	R	29	" 400,030 "	120	0 to 838	7														
1	1	9	1009	1	DEV	F4T Base	Diagnostic - F4T Base Model Number (Digit 15 for Modbus protocol)	Monitor the model number of the base.	"A to Z, 0 to 9 (Unicode character)"	no default	Short String	R	30	" 400,031 "	120	0 to 838	7														
1	1	11	1011	1	DEV	F4T Base	Diagnostic - Device Name (Character 1 for Modbus protocol)	Program the name to assign the base.	Any Unicode character (0 to 65535)	F (70)	Short String	RWES	46	" 400,047 "	120	0 to 838	7														
1	1	11	1011	1	DEV	F4T Base	Diagnostic - Device Name (Character 2 for Modbus protocol)	Program the name to assign the base.	Any Unicode character (0 to 65535)	4 (52)	Short String	RWES	47	" 400,048 "	120	0 to 838	7														
1	1	11	1011	1	DEV	F4T Base	Diagnostic - Device Name (Character 3 for Modbus protocol)	Program the name to assign the base.	Any Unicode character (0 to 65535)	T (84)	Short String	RWES	48	" 400,049 "	120	0 to 838	7														
1	1	11	1011	1	DEV	F4T Base	Diagnostic - Device Name (Character 4 for Modbus protocol)	Program the name to assign the base.	Any Unicode character (0 to 65535)	no default	Short String	RWES	49	" 400,050 "	120	0 to 838	7														
1	1	11	1011	1	DEV	F4T Base	Diagnostic - Device Name (Character 5 for Modbus protocol)	Program the name to assign the base.	Any Unicode character (0 to 65535)	no default	Short String	RWES	50	" 400,051 "	120	0 to 838	7														
1	1	11	1011	1	DEV	F4T Base	Diagnostic - Device Name (Character 6 for Modbus protocol)	Program the name to assign the base.	Any Unicode character (0 to 65535)	no default	Short String	RWES	51	" 400,052 "	120	0 to 838	7														
1	1	11	1011	1	DEV	F4T Base	Diagnostic - Device Name (Character 7 for Modbus protocol)	Program the name to assign the base.	Any Unicode character (0 to 65535)	no default	Short String	RWES	52	" 400,053 "	120	0 to 838	7														
1	1	11	1011	1	DEV	F4T Base	Diagnostic - Device Name (Character 8 for Modbus protocol)	Program the name to assign the base.	Any Unicode character (0 to 65535)	no default	Short String	RWES	53	" 400,054 "	120	0 to 838	7														
1	1	11	1011	1	DEV	F4T Base	Diagnostic - Device Name (Character 9 for Modbus protocol)	Program the name to assign the base.	Any Unicode character (0 to 65535)	no default	Short String	RWES	54	" 400,055 "	120	0 to 838	7														
1	1	11	1011	1	DEV	F4T Base	Diagnostic - Device Name (Character 10 for Modbus protocol)	Program the name to assign the base.	Any Unicode character (0 to 65535)	no default	Short String	RWES	55	" 400,056 "	120	0 to 838	7														
1	1	11	1011	1	DEV	F4T Base	Diagnostic - Device Name (Character 11 for Modbus protocol)	Program the name to assign the base.	Any Unicode character (0 to 65535)	no default	Short String	RWES	56	" 400,057 "	120	0 to 838	7														
1	1	11	1011	1	DEV	F4T Base	Diagnostic - Device Name (Character 12 for Modbus protocol)	Program the name to assign the base.	Any Unicode character (0 to 65535)	no default	Short String	RWES	57	" 400,058 "	120	0 to 838	7														
1	1	11	1011	1	DEV	F4T Base	Diagnostic - Device Name (Character 13 for Modbus protocol)	Program the name to assign the base.	Any Unicode character (0 to 65535)	no default	Short String	RWES	58	" 400,059 "	120	0 to 838	7														
1	1	11	1011	1	DEV	F4T Base	Diagnostic - Device Name (Character 14 for Modbus protocol)	Program the name to assign the base.	Any Unicode character (0 to 65535)	no default	Short String	RWES	59	" 400,060 "	120	0 to 838	7														
1	1	11	1011	1	DEV	F4T Base	Diagnostic - Device Name (Character 15 for Modbus protocol)	Program the name to assign the base.	Any Unicode character (0 to 65535)	no default	Short String	RWES	60	" 400,061 "	120	0 to 838	7														
1	1	11	1011	1	DEV	F4T Base	Diagnostic - Device Name (Character 16 for Modbus protocol)	Program the name to assign the base.	Any Unicode character (0 to 65535)	no default	Short String	RWES	61	" 400,062 "	120	0 to 838	7														
1	1	11	1011	1	DEV	F4T Base	Diagnostic - Device Name (Character 17 for Modbus protocol)	Program the name to assign the base.	Any Unicode character (0 to 65535)	no default	Short String	RWES	62	" 400,063 "	120	0 to 838	7														
1	1	11	1011	1	DEV	F4T Base	Diagnostic - Device Name (Character 18 for Modbus protocol)	Program the name to assign the base.	Any Unicode character (0 to 65535)	no default	Short String	RWES	63	" 400,064 "	120	0 to 838	7														
1	1	11	1011	1	DEV	F4T Base	Diagnostic - Device Name (Character 19 for Modbus protocol)	Program the name to assign the base.	Any Unicode character (0 to 65535)	no default	Short String	RWES	64	" 400,065 "	120	0 to 838	7														
1	1	11	1011	1	DEV	F4T Base	Diagnostic - Device Name (Character 20 for Modbus protocol)	Program the name to assign the base.	Any Unicode character (0 to 65535)	no default	Short String	RWES	65	" 400,066 "	120	0 to 838	7														
1	1	13	1013	1	DEV	F4T Base	User Settings Restore	Program to restore factory settings.	"None (61), Factory (31)"	no default	Enumeration	W	86	" 400,087 "	120	0 to 838	7														
1	1	16	1016	1	DEV	F4T Base	Device Status of F4T Base	Monitor the base for failure.	"OK (138), Fail (32)"	no default	Enumeration	R	90	" 400,091 "	120	0 to 838	7														
1	1	34	1034	1	DEV	F4T Base	Line Frequency	Program the frequency used for variable time base control.	"50 Hz (3), 60 Hz (4)"	60 Hz (4)	Enumeration	R	94	" 400,095 "	120	0 to 838	7														
1	2	1	1001	2	DEV	1	Diagnostic - Hardware ID of Flex Module 1	Monitor the hardware card ID populated in slot 1.	"None (4352), FMHA-RAAA-AxAA (5632), FMHA-PAAA-AxAA (5888), FMHA-CAAA-AxAA (4480), FMHA-FAAA-AxAA (4528), FMHA-BAAA-AxAA (4512), FMHA-JAAA-AxAA (4496), FMHA-KAAA-AxAA (4544), FMHA-LAAA-AxAA (4560), FMMA-AAJA-AxAA (4400), FMMA-AAKA-AxAA (4384), FMMA-ACAA-AxAA (4353), FMMA-ACHA-AxAA (4417), FMMA-ACCA-AxAA (4369), FMMA-ACJA-AxAA (4401), FMMA-ACKA-AxAA (4385), FMMA-AEAA-AxAA (4355), FMMA-AEHA-AxAA (4419), FMMA-AECA-AxAA (4371), FMMA-AEJA-AxAA (4401), FMMA-AEKA-AxAA (4387), FMMA-AFAA-AxAA (4357), FMMA-AFCA-AxAA (4373), FMMA-AFJA-AxAA (4405), FMMA-AFKA-AxAA (4389), FMMA-AKHA-AxAA (4418), FMMA-AKKA-AxAA (4386), FMMA-UAAA-AxAA (4864), FMMA-UAJA-AxAA (4912), FMMA-UAKA-AxAA (4896), FMMA-UCAA-AxAA (4865), FMMA-UCHA-AxAA (4929), FMMA-UCCA-AxAA (4881), FMMA-UCJA-AxAA (4913), FMMA-UCKA-AxAA (4897), FMMA-UEAA-AxAA (4867), FMMA-UEHA-AxAA (4931), FMMA-UECA-AxAA (4883), FMMA-UEJA-AxAA (4915), FMMA-UEKA-AxAA (4899), FMMA-UFAA-AxAA (4869), FMMA-UFCA-AxAA (4885), FMMA-UFJA-AxAA (4917), FMMA-UFKA-AxAA (4901), FMMA-UKHA-AxAA (4930), FMMA-UKKA-AxAA (4898), FMMA-TAAA-AxAA (5376), FMMA-TAJA-AxAA (5424), FMMA-TAKA-AxAA (5408), FMMA-TCAA-AxAA (5377), FMMA-TCHA-AxAA (5441), FMMA-TCCA-AxAA (5393), FMMA-TCJA-AxAA (5425), FMMA-TCKA-AxAA (5409), FMMA-TEAA-AxAA (5379), FMMA-TEHA-AxAA (5443), FMMA-TECA-AxAA (5395), FMMA-TEJA-AxAA (5427), FMMA-TEKA-AxAA (5411), FMMA-TFAA-AxAA (5381), FMMA-TFCA-AxAA (5397), FMMA-TFJA-AxAA (5429), FMMA-TFKA-AxAA (5413), FMMA-TKHA-AxAA (5442), FMMA-TKKA-AxAA (5410), FMMA-CAAA-AxAA (6144), FMMA-CAJA-AxAA (6192), FMMA-CAKA-AxAA (6176), FMMA-CCAA-AxAA (6145), FMMA-CCHA-AxAA (6209), FMMA-CCCA-AxAA (6161), FMMA-CCJA-AxAA (6193), FMMA-CCKA-AxAA (6177), FMMA-CEAA-AxAA (6147), FMMA-CEHA-AxAA (6211), FMMA-CECA-AxAA (6163), FMMA-CEJA-AxAA (6195), FMMA-CEKA-AxAA (6179), FMMA-CKHA-AxAA (6210), FMMA-CKKA-AxAA (6178), FMLA-LCJA-AxAA (13105), FMLA-LEJA-AxAA (13107), FMLA-LAJA-AxAA (13104), FMLA-MCJA-AxAA (13617), FMLA-MEJA-AxAA (13619), FMLA-MAJA-AxAA (13616), FMLA-YEBA-AxAA (15443)"	no default	signed 32-bit	R	120	" 400,121 "	120	0 to 838	7														
1	2	2	1002	2	DEV	1	Diagnostic - Firmware ID	Monitor the hardware ID.	"0 to 2,147,483,647"	no default	signed 32-bit	R	122	" 400,123 "	120	0 to 838	7														
1	2	3	1003	2	DEV	1	Diagnostic - Software Revision	Monitor the software release version.	"0 to 2,147,483,647"	no default	signed 32-bit	R	124	" 400,125 "	120	0 to 838	7														
1	2	4	1004	2	DEV	1	Diagnostic - Firmware Prototype Number	Monitor the prototype version if prototype.	"0 to 2,147,483,647"	no default	signed 32-bit	R	126	" 400,127 "	120	0 to 838	7														
1	2	5	1005	2	DEV	1	Diagnostic - Software Build Number	Monitor the software build number.	"0 to 2,147,483,647"	no default	signed 32-bit	R	128	" 400,129 "	120	0 to 838	7														
1	2	6	1006	2	DEV	1	Diagnostic - Firmware Branch Number	Monitor the firmware branch number.	"0 to 2,147,483,647"	no default	signed 32-bit	R	130	" 400,131 "	120	0 to 838	7														
1	2	7	1007	2	DEV	1	Diagnostic - Serial Number	Monitor the serial number.	"0 to 2,147,483,647"	no default	signed 32-bit	R	132	" 400,133 "	120	0 to 838	7														
